x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
370475,5808975,11,14,9,2,1,2,2
370475,5809025,11,14,9,2,1,2,2
370475,5809075,11,15,10,2,1,2,2
370475,5809125,11,14,9,2,1,2,2
370475,5809175,11,14,9,2,1,2,2
370475,5809225,12,14,9,2,1,2,2
370475,5809275,11,14,9,2,1,2,2
370475,5809325,12,14,9,2,1,2,2
370475,5809375,12,14,9,2,1,2,2
370475,5809425,12,14,9,2,1,2,2
370475,5809475,12,14,9,2,1,2,2
370475,5809525,12,14,9,2,1,2,2
370475,5809575,12,14,9,2,1,2,2
370475,5809625,12,14,9,2,1,2,2
370475,5809675,13,14,9,2,1,2,2
370525,5808275,11,14,9,2,1,2,2
370525,5808325,11,14,9,2,1,2,2
370525,5808375,10,15,9,1,1,2,2
370525,5808425,9,15,9,1,1,2,2
370525,5808475,11,14,9,2,1,2,2
370525,5808525,10,14,9,1,1,2,2
370525,5808575,10,14,9,1,1,2,2
370525,5808625,10,14,9,1,1,2,2
370525,5808675,11,14,9,2,1,2,2
370525,5808725,15,19,11,2,2,3,3
370525,5808775,11,15,10,2,1,2,2
370525,5808825,11,14,9,2,1,2,2
370525,5808875,11,14,9,2,1,2,2
370525,5808925,11,14,9,2,1,2,2
370525,5808975,11,14,9,2,1,2,2
370525,5809025,11,14,9,2,1,2,2
370525,5809075,11,14,9,2,1,2,2
370525,5809125,11,14,9,2,1,2,2
370525,5809175,11,14,9,2,1,2,2
370525,5809225,11,14,9,2,1,2,2
370525,5809275,12,14,9,2,1,2,2
370525,5809325,12,14,9,2,1,2,2
370525,5809375,12,14,9,2,1,2,2
370525,5809425,12,14,9,2,1,2,2
370525,5809475,12,14,9,2,1,2,2
370525,5809525,12,14,9,2,1,2,2
370525,5809575,12,14,9,2,1,2,2
370525,5809625,12,14,9,2,1,2,2
370525,5809675,13,14,9,2,1,2,2
370525,5809725,12,14,9,2,1,2,2
370575,5808275,12,14,9,2,1,2,2
370575,5808325,11,14,9,2,1,2,2
370575,5808375,11,15,9,2,1,2,2
370575,5808425,10,15,9,1,1,2,2
370575,5808475,9,15,9,1,1,2,2
370575,5808525,10,14,9,1,1,2,2
370575,5808575,11,14,9,2,1,2,2
370575,5808625,11,14,9,2,1,2,2
370575,5808675,12,14,9,2,1,2,2
370575,5808725,14,19,11,2,2,3,3
370575,5808775,11,15,10,2,1,2,2
370575,5808825,11,14,9,2,1,2,2
370575,5808875,11,14,9,2,1,2,2
370575,5808925,11,14,9,2,1,2,2
370575,5808975,11,14,9,2,1,2,2
370575,5809025,11,14,9,2,1,2,2
370575,5809075,11,14,9,2,1,2,2
370575,5809125,11,14,9,2,1,2,2
370575,5809175,11,14,9,2,1,2,2
370575,5809225,11,14,9,2,1,2,2
370575,5809275,11,14,9,2,1,2,2
370575,5809325,11,14,9,2,1,2,2
